antecedent,consequent,confidence,lift,support
"[""housewares""]","[""garden_tools""]",0.10784313725490197,1.0981772990886496,0.015214384508990318
"[""housewares""]","[""bed_bath_table""]",0.19607843137254902,0.7196177963571215,0.027662517289073305
"[""housewares""]","[""furniture_decor""]",0.23529411764705882,0.8421665695981363,0.03319502074688797
"[""housewares""]","[""sports_leisure""]",0.10784313725490197,1.1637401229148376,0.015214384508990318
"[""cool_stuff""]","[""bed_bath_table""]",0.15151515151515152,0.5560682971850485,0.013831258644536652
"[""cool_stuff""]","[""baby""]",0.30303030303030304,2.355816226783969,0.027662517289073305
"[""health_beauty""]","[""perfumery""]",0.15942028985507245,4.610434782608695,0.015214384508990318
"[""health_beauty""]","[""bed_bath_table""]",0.15942028985507245,0.5850805561686162,0.015214384508990318
"[""health_beauty""]","[""sports_leisure""]",0.2028985507246377,2.189487345879299,0.019363762102351315
"[""perfumery""]","[""health_beauty""]",0.44,4.610434782608696,0.015214384508990318
"[""furniture_decor""]","[""bed_bath_table""]",0.3465346534653465,1.2717997688093683,0.09681881051175657
"[""furniture_decor""]","[""housewares""]",0.1188118811881188,0.8421665695981363,0.03319502074688797
"[""garden_tools""]","[""computers_accessories""]",0.11267605633802817,1.6292957746478873,0.011065006915629323
"[""garden_tools""]","[""housewares""]",0.15492957746478872,1.0981772990886494,0.015214384508990318
"[""garden_tools""]","[""furniture_decor""]",0.22535211267605634,0.80658206665737,0.022130013831258646
"[""sports_leisure""]","[""housewares""]",0.16417910447761194,1.1637401229148376,0.015214384508990318
"[""sports_leisure""]","[""health_beauty""]",0.208955223880597,2.189487345879299,0.019363762102351315
"[""home_construction""]","[""furniture_decor""]",0.5,1.7896039603960396,0.017980636237897647
"[""baby""]","[""toys""]",0.20430107526881722,2.9541935483870967,0.02627939142461964
"[""baby""]","[""cool_stuff""]",0.21505376344086022,2.355816226783969,0.027662517289073305
"[""baby""]","[""bed_bath_table""]",0.1827956989247312,0.6708694940232521,0.02351313969571231
"[""baby""]","[""furniture_decor""]",0.12903225806451613,0.46183328010220376,0.016597510373443983
"[""construction_tools_lights""]","[""furniture_decor""]",0.6111111111111112,2.1872937293729375,0.015214384508990318
"[""home_confort""]","[""bed_bath_table""]",0.86,3.1562436548223354,0.059474412171507604
"[""bed_bath_table""]","[""furniture_decor""]",0.3553299492385787,1.2717997688093683,0.09681881051175657
"[""bed_bath_table""]","[""home_confort""]",0.2182741116751269,3.1562436548223345,0.059474412171507604
"[""bed_bath_table""]","[""housewares""]",0.10152284263959391,0.7196177963571215,0.027662517289073305
"[""toys""]","[""baby""]",0.38,2.954193548387097,0.02627939142461964
"[""computers_accessories""]","[""garden_tools""]",0.16,1.6292957746478873,0.011065006915629323
